order_item_id,order_id,product_id,quantity,unit_price,discount,line_total
1,1,1101,1,9.88,-1.0,10.88
2,1,376,1,31.82,1.42,30.4
3,1,840,1,21.4,-0.41,21.81
4,2,123,2,58.59,3.66,113.52
5,2,590,3,5.03,-0.21,15.3
6,2,899,1,2.85,-1.0,3.85
7,3,124,1,38.89,2.56,36.33
8,3,307,2,58.45,1.97,114.93
9,4,986,1,41.5,0.22,41.28
10,4,612,2,53.64,-0.52,107.8
11,4,823,2,25.79,-0.76,52.34
12,5,1017,1,58.05,2.05,56.0
13,5,924,1,64.8,-1.0,65.8
14,5,425,3,2.4,2.73,4.47
15,6,274,1,24.89,1.95,22.94
16,6,791,5,71.2,-1.0,357.0
17,6,386,1,95.3,1.56,93.74
18,7,334,1,41.01,-1.0,42.01
19,7,395,1,3.13,6.28,-3.15
20,7,584,1,121.65,-1.0,122.65
21,7,194,1,21.91,4.14,17.77
22,7,279,1,93.36,1.65,91.71
23,8,1059,1,88.68,-0.85,89.53
24,8,1073,1,66.84,-1.0,67.84
25,8,440,2,3.38,-0.89,7.65
26,9,79,2,23.28,-0.16,46.72
27,9,370,2,59.31,-1.0,119.62
28,9,505,1,66.2,1.55,64.65
29,10,571,4,7.95,-1.0,32.8
30,11,456,2,46.57,2.27,90.87
31,11,1148,2,44.39,-0.9,89.68
32,12,956,2,67.27,-0.84,135.38
33,12,439,1,28.02,3.91,24.11
34,12,1183,1,25.14,-1.0,26.14
35,12,1116,1,19.44,0.1,19.34
36,13,402,1,113.29,1.4,111.89
37,13,1120,1,22.38,3.46,18.92
38,14,1116,1,19.44,1.86,17.58
39,14,385,2,33.31,2.94,63.68
40,14,364,1,43.91,-0.38,44.29
41,14,713,1,37.63,2.52,35.11
42,14,982,1,96.48,2.25,94.23
43,15,771,1,42.3,-1.0,43.3
44,15,732,1,102.79,1.74,101.05
45,15,344,1,54.2,2.4,51.8
46,15,852,1,42.67,2.0,40.67
47,15,1192,2,33.73,1.4,66.06
48,16,981,2,13.36,-1.0,27.72
49,16,717,3,21.21,3.12,60.51
50,16,99,3,38.55,3.63,112.02
51,17,858,1,3.43,-1.0,4.43
52,17,672,1,3.7,6.62,-2.92
53,17,829,2,36.74,-1.0,74.48
54,17,813,1,28.32,5.74,22.58
55,18,269,1,69.73,-1.0,70.73
56,18,673,1,46.91,-1.0,47.91
57,18,713,1,37.63,-1.0,38.63
58,18,619,1,63.7,-1.0,64.7
59,18,1037,1,47.85,0.75,47.1
60,19,744,1,30.86,3.81,27.05
61,19,915,2,20.52,-1.0,42.04
62,19,806,3,75.66,0.71,226.27
63,19,550,1,65.58,0.58,65.0
64,19,800,2,48.82,-1.0,98.64
65,20,652,1,59.01,-0.12,59.13
66,21,712,1,72.02,0.34,71.68
67,21,770,3,9.6,-1.0,29.8
68,21,690,2,85.22,-1.0,171.44
69,21,446,1,42.34,-0.96,43.3
70,22,824,2,67.98,-0.58,136.54
71,22,400,1,35.13,-0.5,35.63
72,23,674,2,78.75,-1.0,158.5
73,23,540,2,28.05,-0.35,56.45
74,23,656,3,49.43,1.37,146.92
75,23,1199,3,50.87,-0.81,153.42
76,24,733,1,32.4,-1.0,33.4
77,24,840,4,21.4,2.37,83.23
78,25,443,1,62.12,-0.94,63.06
79,25,160,1,46.58,-0.98,47.56
80,25,1149,1,13.46,1.49,11.97
81,25,150,1,10.86,-1.0,11.86
82,25,769,2,16.36,4.79,27.93
83,25,164,1,37.09,4.71,32.38
84,26,866,1,2.4,-0.76,3.16
85,26,1058,1,22.6,2.81,19.79
86,26,34,1,46.08,3.67,42.41
