supplier_id,supplier_name,contact_email,country,lead_time_days
1,Supplier 6FBK,contact_k8e95r@supplier.com,Italy,11
2,Supplier T8P7,contact_942pzi@supplier.com,UK,9
3,Supplier J8Y9,contact_rvxfk8@supplier.com,Italy,12
4,Supplier TUCF,contact_u84q7v@supplier.com,UAE,12
5,Supplier 794F,contact_wdnb11@supplier.com,USA,13
6,Supplier 6Q79,contact_tn1bma@supplier.com,Canada,10
7,Supplier UPWB,contact_3j45tv@supplier.com,UAE,13
8,Supplier OONA,contact_li1sm7@supplier.com,Germany,3
9,Supplier JPZL,contact_pa24ys@supplier.com,Netherlands,12
10,Supplier 47H2,contact_ndps0f@supplier.com,Spain,11
11,Supplier 31QJ,contact_55eq1x@supplier.com,Netherlands,16
12,Supplier HD07,contact_mf5dxe@supplier.com,Italy,9
13,Supplier Q6Z8,contact_tjpsu6@supplier.com,Netherlands,12
14,Supplier DV85,contact_rb86ne@supplier.com,Spain,13
15,Supplier AQS7,contact_3zo8il@supplier.com,Netherlands,7
16,Supplier 97EY,contact_ovirix@supplier.com,UAE,13
17,Supplier XAUE,contact_2kc4tv@supplier.com,Netherlands,14
18,Supplier UB88,contact_jxekvm@supplier.com,UAE,6
19,Supplier W636,contact_2hpy95@supplier.com,Italy,8
20,Supplier D1JQ,contact_34ijnx@supplier.com,Italy,13
21,Supplier 7ESI,contact_t559ry@supplier.com,Germany,12
22,Supplier A0IJ,contact_fdddxk@supplier.com,Morocco,10
23,Supplier CSXV,contact_5v3swf@supplier.com,UAE,6
24,Supplier AMPC,contact_ocpeez@supplier.com,France,11
25,Supplier SSPV,contact_xe83pn@supplier.com,Canada,2
26,Supplier WPQK,contact_22ddcl@supplier.com,France,14
27,Supplier Z7FZ,contact_0q0dw3@supplier.com,Morocco,8
28,Supplier G34W,contact_jj4v2n@supplier.com,Netherlands,12
29,Supplier 4M2X,contact_r3p0c5@supplier.com,UAE,13
30,Supplier 9070,contact_jf9f67@supplier.com,USA,5
31,Supplier OSP3,contact_oeosqs@supplier.com,UAE,16
32,Supplier O3T9,contact_ok47fl@supplier.com,UK,7
33,Supplier X765,contact_tv0lsq@supplier.com,Netherlands,8
34,Supplier UGJ2,contact_ey6yxz@supplier.com,France,17
35,Supplier POF0,contact_bgi78c@supplier.com,France,14
36,Supplier 8UI0,contact_gb4nbp@supplier.com,France,12
37,Supplier MC6T,contact_au7a2n@supplier.com,Canada,6
38,Supplier BTHF,contact_y2yr10@supplier.com,Morocco,8
39,Supplier 3T0Y,contact_d12bi1@supplier.com,Morocco,11
40,Supplier EOTO,contact_eu88wf@supplier.com,UK,13
