order_id,customer_id,order_date,status,shipping_method,shipping_cost,discount_amount,tax_amount,total_amount,currency,promo_code,channel,items_sum
1,1722,2024-01-27 21:03:46,completed,priority,2.53,1.65,6.31,70.28,MAD,SPRING15,web,63.09
2,4047,2024-02-23 00:08:28,completed,pickup,6.57,4.48,10.61,145.37,USD,WELCOME10,mobile,132.67
3,3363,2025-08-15 22:34:34,shipped,express,3.29,-3.81,12.1,170.46,EUR,,web,151.26
4,2993,2024-07-09 08:35:15,shipped,standard,15.2,-3.67,16.11,236.4,USD,,marketplace,201.42000000000002
5,2245,2023-10-31 08:58:13,completed,standard,4.34,-5.0,10.1,145.71,USD,,web,126.27
6,1057,2025-07-23 16:41:37,shipped,express,21.66,-2.29,37.89,535.52,EUR,,mobile,473.68
7,3492,2025-02-17 12:52:01,completed,express,2.62,-1.09,21.68,296.38,EUR,WELCOME10,marketplace,270.99
8,3492,2024-05-09 21:53:21,completed,express,9.52,-5.0,13.2,192.74,EUR,,web,165.02
9,2847,2023-11-26 17:00:48,shipped,standard,9.87,9.83,18.48,249.51,USD,,web,230.99
10,749,2023-08-29 17:09:05,completed,standard,5.68,25.22,3.28,16.54,MAD,,marketplace,32.8
11,2986,2025-07-31 19:34:26,shipped,standard,19.89,7.83,14.44,207.05,USD,,web,180.55
12,2464,2024-05-20 03:22:10,completed,standard,3.04,11.52,16.4,212.89,USD,,marketplace,204.97
13,4761,2024-02-25 16:45:20,completed,standard,4.98,-5.0,10.46,151.25,USD,,web,130.81
14,3345,2023-06-12 18:49:22,cancelled,standard,1.17,8.25,20.39,0.0,USD,SPRING15,web,254.89
15,4521,2025-01-10 11:56:27,completed,standard,8.68,6.03,24.23,329.76,EUR,VIP20,mobile,302.88
16,2349,2024-06-07 17:02:36,completed,priority,6.41,-5.0,16.02,227.68,EUR,,web,200.25
17,1604,2025-07-27 21:13:34,completed,priority,3.96,6.58,7.89,103.84,USD,,web,98.57000000000001
18,4592,2024-11-10 14:02:09,returned,standard,7.12,2.28,21.53,0.0,GBP,WELCOME10,web,269.07
19,1895,2023-03-21 01:13:05,pending,express,2.13,-4.48,36.72,502.33,USD,SPRING15,web,459.0
20,2900,2023-04-14 02:28:34,completed,standard,8.22,-5.0,4.73,77.08,USD,SPRING15,marketplace,59.13
21,4901,2025-08-14 20:16:19,completed,standard,0.21,3.11,25.3,338.62,USD,,web,316.22
22,2052,2024-08-01 14:39:55,completed,pickup,8.05,7.0,13.77,186.99,USD,,web,172.17
23,726,2024-11-14 11:23:02,cancelled,standard,10.11,8.2,41.22,0.0,GBP,,web,515.29
24,3220,2025-03-14 22:42:46,completed,standard,4.72,15.81,9.33,114.87,EUR,,mobile,116.63
25,34,2024-11-14 13:03:01,completed,standard,9.23,-5.0,15.58,224.57,EUR,SPRING15,mobile,194.76
26,1458,2023-10-11 21:00:17,returned,standard,2.28,3.24,6.54,0.0,MAD,,web,65.36
27,2623,2024-07-11 06:12:20,completed,standard,10.29,5.39,18.09,249.1,USD,,web,226.10999999999999
28,1914,2025-03-22 09:37:08,cancelled,priority,1.49,16.3,5.67,0.0,USD,,mobile,70.83
29,3317,2023-08-08 03:23:15,completed,express,4.48,6.07,25.53,343.02,USD,SPRING15,mobile,319.08
30,4177,2024-02-16 10:46:18,completed,standard,13.57,0.53,1.59,34.46,USD,,mobile,19.83
31,796,2023-03-03 20:21:13,returned,standard,2.78,1.43,7.39,0.0,USD,,marketplace,92.43
32,4774,2023-09-12 22:42:25,completed,express,0.41,24.57,13.02,151.63,USD,,marketplace,162.76999999999998
33,1980,2025-02-17 09:45:08,completed,standard,9.0,10.2,4.96,65.71,USD,,web,61.949999999999996
34,3622,2024-11-23 20:34:55,completed,standard,6.94,-5.0,17.24,244.64,USD,,web,215.46
35,667,2023-07-02 22:30:37,completed,standard,14.55,19.44,4.64,57.77,EUR,,marketplace,58.02
36,3564,2024-06-02 04:49:12,completed,pickup,0.69,21.13,15.46,149.64,MAD,SPRING15,mobile,154.62
37,3906,2023-11-27 08:07:21,completed,priority,2.7,-2.54,4.73,69.14,USD,,web,59.169999999999995
38,4216,2024-12-21 16:41:50,completed,express,9.68,-5.0,21.44,304.12,USD,,marketplace,268.0
39,3886,2025-03-21 15:58:36,completed,pickup,2.46,3.31,13.07,175.54,USD,,web,163.32
40,2161,2024-04-16 01:30:33,shipped,standard,6.04,10.08,19.31,256.69,USD,WELCOME10,mobile,241.42000000000002
41,2714,2024-06-08 08:18:38,completed,standard,10.97,-3.17,6.7,104.56,USD,,mobile,83.72
42,2011,2023-05-09 23:11:50,completed,standard,13.28,7.32,6.69,96.25,USD,WELCOME10,mobile,83.6
43,4327,2024-05-05 04:16:22,completed,standard,5.57,-0.69,17.81,246.67,GBP,,web,222.60000000000002
44,3856,2025-08-04 08:44:43,completed,standard,20.07,-1.43,7.93,128.52,EUR,,mobile,99.09
45,2935,2025-04-28 09:17:49,completed,standard,18.26,12.11,19.59,270.61,USD,WELCOME10,web,244.87
46,3919,2023-01-19 03:02:54,pending,express,16.37,0.5,19.51,230.52,MAD,,web,195.14000000000001
47,1297,2023-06-02 19:25:22,completed,express,5.38,4.91,4.28,58.21,USD,,mobile,53.459999999999994
48,42,2025-08-17 09:36:53,completed,priority,11.27,25.81,12.93,159.96,USD,WELCOME10,marketplace,161.57
49,931,2024-06-19 20:29:48,completed,express,6.64,6.27,2.79,38.04,EUR,VIP20,web,34.879999999999995
50,4053,2023-11-21 09:46:02,pending,standard,4.58,13.07,22.75,298.64,EUR,,web,284.38
51,3479,2025-07-06 07:49:04,completed,standard,10.05,2.64,6.79,99.11,EUR,,web,84.91
52,128,2024-07-18 04:07:18,completed,standard,6.63,9.91,1.07,11.16,EUR,SPRING15,mobile,13.37
53,1133,2024-10-24 13:22:19,completed,standard,7.6,3.82,11.53,159.44,USD,,marketplace,144.13
54,4978,2025-04-10 03:51:35,completed,express,4.3,2.52,0.68,10.95,EUR,,web,8.49
55,3428,2023-12-02 13:01:27,shipped,express,6.05,-1.21,3.67,56.85,USD,,marketplace,45.92
56,4832,2025-02-15 04:58:47,shipped,standard,0.83,10.93,5.98,70.64,USD,,web,74.75999999999999
57,3998,2023-12-24 22:23:16,completed,express,16.55,-5.0,15.99,237.47,USD,,web,199.92999999999998
58,4911,2024-06-08 23:49:44,completed,pickup,5.33,4.01,17.84,242.21,USD,,web,223.05
59,3386,2024-11-09 16:57:08,pending,standard,4.93,16.15,12.85,162.29,GBP,,marketplace,160.66
60,3529,2025-02-18 00:39:43,completed,express,6.91,5.93,23.39,316.73,USD,FREESHIP,web,292.36
61,4435,2024-08-24 16:46:24,completed,standard,7.38,15.43,5.85,70.94,GBP,WELCOME10,web,73.14
62,4142,2025-07-21 17:17:19,cancelled,express,9.42,3.0,17.9,0.0,USD,SPRING15,web,223.74
63,2630,2024-07-17 05:41:20,returned,standard,15.76,4.5,4.46,0.0,USD,SPRING15,web,55.81
64,2719,2023-06-22 03:22:42,completed,express,14.94,-1.02,41.36,574.29,USD,,marketplace,516.97
65,3262,2025-01-16 20:09:07,completed,standard,2.35,6.42,0.86,7.55,GBP,,marketplace,10.76
66,3857,2023-09-15 08:14:02,shipped,pickup,7.99,5.06,9.6,132.55,USD,,web,120.02000000000001
67,3204,2023-12-04 05:39:48,completed,standard,8.24,3.49,10.99,153.06,USD,,web,137.32
68,619,2025-02-03 05:03:25,completed,standard,3.28,13.45,6.99,84.16,USD,,web,87.34
69,895,2023-08-01 23:09:01,completed,standard,8.21,1.29,7.59,109.43,USD,,marketplace,94.92
70,3103,2024-11-10 19:31:25,completed,standard,15.97,-2.79,24.66,351.64,EUR,,web,308.22
71,4405,2025-02-17 01:17:11,completed,standard,4.38,12.65,1.61,13.48,EUR,FREESHIP,marketplace,20.14
72,480,2025-08-16 04:14:34,completed,standard,6.67,3.22,15.68,215.16,USD,,mobile,196.03
73,895,2023-03-10 02:20:01,completed,pickup,11.92,6.93,8.08,114.1,USD,,marketplace,101.03
74,2931,2023-12-07 15:49:07,pending,standard,3.83,-0.96,20.0,274.74,USD,,web,249.95000000000002
75,1668,2024-02-15 09:00:52,completed,standard,8.44,12.67,15.28,202.06,USD,,mobile,191.01
76,1051,2023-09-07 19:43:35,completed,priority,5.72,12.18,2.06,16.2,MAD,,web,20.6
77,3520,2024-07-27 03:24:16,completed,pickup,5.23,-5.0,70.74,965.24,USD,,web,884.27
78,3089,2023-04-22 21:24:53,completed,standard,19.2,-5.0,27.18,323.18,MAD,,mobile,271.8
79,170,2023-01-01 04:14:08,pending,standard,14.73,-3.48,33.4,469.11,USD,,mobile,417.5
