payment_id,order_id,payment_date,amount,method,status,transaction_ref
1,1,2024-01-29 00:03:46,70.28,card,captured,PAY-Y3LZ9DNAF3
2,2,2024-02-25 10:08:28,145.37,cod,captured,PAY-70EQODE879
3,3,2025-08-17 06:34:34,170.46,bank_transfer,captured,PAY-GQ1DJM98I5
4,4,2024-07-11 04:35:15,236.4,card,captured,PAY-STFQEDF1T3
5,5,2023-11-02 10:58:13,145.71,card,captured,PAY-M9VQ7V0TO1
6,6,2025-07-24 18:41:37,535.52,paypal,captured,PAY-7CSR7NPCCU
7,7,2025-02-17 21:52:01,296.38,cod,captured,PAY-K7P6M1FYM4
8,8,2024-05-11 05:53:21,192.74,card,captured,PAY-QT60C8UCNA
9,9,2023-11-28 09:00:48,249.51,cod,captured,PAY-Y23ROYCUGH
10,10,2023-09-01 08:09:05,16.54,card,captured,PAY-QJQ6PWZHJT
11,11,2025-08-01 23:34:26,207.05,card,captured,PAY-QGZ0QY9OAF
12,12,2024-05-22 01:22:10,212.89,paypal,captured,PAY-2AXW8O2I6T
13,13,2024-02-27 22:45:20,151.25,paypal,captured,PAY-31982SDOV8
14,14,2023-06-13 16:49:22,0.0,bank_transfer,voided,PAY-83W3QBHTDQ
15,15,2025-01-10 11:56:27,329.76,card,captured,PAY-0T66OOSXXQ
16,16,2024-06-09 06:02:36,227.68,card,captured,PAY-A7N9LBLNFO
17,17,2025-07-29 15:13:34,103.84,paypal,captured,PAY-G3EJMKXKEF
18,18,2024-11-13 06:02:09,0.0,card,refunded,PAY-WYO5TFYU82
19,19,2023-03-23 11:13:05,502.33,card,captured,PAY-V3IK9YRHLP
20,20,2023-04-16 13:28:34,77.08,paypal,captured,PAY-WX7S9Z4RGR
21,21,2025-08-17 09:16:19,338.62,card,captured,PAY-ANEK8ZDPU5
22,22,2024-08-02 14:39:55,186.99,bank_transfer,captured,PAY-8MQO5CVAGA
23,23,2024-11-14 17:23:02,0.0,card,voided,PAY-U32EX5ZKR9
24,24,2025-03-15 03:42:46,114.87,card,captured,PAY-PPIVHMFR2Y
25,25,2024-11-14 23:03:01,224.57,card,captured,PAY-M3WVM12DZ3
26,26,2023-10-13 03:00:17,0.0,card,refunded,PAY-VW3JXUAB2Q
27,27,2024-07-14 05:12:20,249.1,card,captured,PAY-O4H4Q9WJUR
28,28,2025-03-23 10:37:08,0.0,paypal,voided,PAY-OLQE756PEL
29,29,2023-08-09 11:23:15,343.02,card,captured,PAY-3VL5NW9LT7
30,30,2024-02-16 14:46:18,34.46,bank_transfer,captured,PAY-4W0GDSUITM
31,31,2023-03-06 15:21:13,0.0,paypal,refunded,PAY-FI01YN9NE6
32,32,2023-09-14 13:42:25,151.63,card,captured,PAY-C0OIPW63WD
33,33,2025-02-19 02:45:08,65.71,paypal,captured,PAY-OC9THYX4FA
34,34,2024-11-26 02:34:55,244.64,card,captured,PAY-JL5BOM841O
35,35,2023-07-05 12:30:37,57.77,paypal,captured,PAY-VFGB8VDCFU
36,36,2024-06-02 04:49:12,149.64,bank_transfer,captured,PAY-I3QNWEVD7H
37,37,2023-11-29 19:07:21,69.14,paypal,captured,PAY-8LGMTNFN25
38,38,2024-12-24 10:41:50,304.12,paypal,captured,PAY-RTI79U8KV3
39,39,2025-03-24 09:58:36,175.54,paypal,captured,PAY-TDZ8SKBHP9
40,40,2024-04-17 05:30:33,256.69,card,captured,PAY-D078915S68
41,41,2024-06-09 18:18:38,104.56,cod,captured,PAY-2GHJ2HNZKB
42,42,2023-05-12 13:11:50,96.25,card,captured,PAY-IPNBAVILBY
43,43,2024-05-05 20:16:22,246.67,card,captured,PAY-KNZ31NEOGL
44,44,2025-08-07 06:44:43,128.52,card,captured,PAY-FN7RSF63VH
45,45,2025-04-29 09:17:49,270.61,cod,captured,PAY-VCD7ZP82Q2
46,46,2023-01-19 04:02:54,230.52,card,captured,PAY-LD2Z08JA4S
47,47,2023-06-04 10:25:22,58.21,paypal,captured,PAY-ZROD7D4YM9
48,48,2025-08-18 17:36:53,159.96,card,captured,PAY-175PRBU8MM
49,49,2024-06-21 20:29:48,38.04,card,captured,PAY-L7NO9R0GK1
50,50,2023-11-22 04:46:02,298.64,cod,captured,PAY-9YRFTNKV8Z
51,51,2025-07-06 15:49:04,99.11,paypal,captured,PAY-1UCXWWNPUS
52,52,2024-07-20 14:07:18,11.16,cod,captured,PAY-ZGOKQGGWYR
53,53,2024-10-27 07:22:19,159.44,card,captured,PAY-HISQKRJIMU
54,54,2025-04-11 23:51:35,10.95,card,captured,PAY-WSQ5XP6ZDA
55,55,2023-12-05 05:01:27,56.85,card,captured,PAY-ERO5T7G2CD
56,56,2025-02-15 15:58:47,70.64,card,captured,PAY-LCSDOL7EI7
57,57,2023-12-27 11:23:16,237.47,card,captured,PAY-O5FJFPFNO1
